id,owner,name,pipeline_tag,tags,downloads,likes,created_at,last_modified,params_guess,hf_url,api_url,purpose,purpose_source,matched_keywords,score,readme_snippet,matched_list,matched_lower,has_framework,llm_type
controltensor/subnet-model-20,controltensor,subnet-model-20,,,,,,,,https://huggingface.co/controltensor/subnet-model-20,https://huggingface.co/api/models/controltensor/subnet-model-20,model,fallback,control|controls,2,,"['control', 'controls']","['control', 'controls']",False,Other/Unknown
controltensor/subnet-model-21,controltensor,subnet-model-21,,,,,,,,https://huggingface.co/controltensor/subnet-model-21,https://huggingface.co/api/models/controltensor/subnet-model-21,model,fallback,control|controls,2,,"['control', 'controls']","['control', 'controls']",False,Other/Unknown
controltensor/subnet-model-22,controltensor,subnet-model-22,,,,,,,,https://huggingface.co/controltensor/subnet-model-22,https://huggingface.co/api/models/controltensor/subnet-model-22,model,fallback,control|controls,2,,"['control', 'controls']","['control', 'controls']",False,Other/Unknown
controltensor/subnet-model-23,controltensor,subnet-model-23,,,,,,,,https://huggingface.co/controltensor/subnet-model-23,https://huggingface.co/api/models/controltensor/subnet-model-23,model,fallback,control|controls,2,,"['control', 'controls']","['control', 'controls']",False,Other/Unknown
controltensor/subnet-model-24,controltensor,subnet-model-24,,,,,,,,https://huggingface.co/controltensor/subnet-model-24,https://huggingface.co/api/models/controltensor/subnet-model-24,model,fallback,control|controls,2,,"['control', 'controls']","['control', 'controls']",False,Other/Unknown
controltensor/subnet-model-25,controltensor,subnet-model-25,,,,,,,,https://huggingface.co/controltensor/subnet-model-25,https://huggingface.co/api/models/controltensor/subnet-model-25,model,fallback,control|controls,2,,"['control', 'controls']","['control', 'controls']",False,Other/Unknown
controltensor/subnet-model-26,controltensor,subnet-model-26,,,,,,,,https://huggingface.co/controltensor/subnet-model-26,https://huggingface.co/api/models/controltensor/subnet-model-26,model,fallback,control|controls,2,,"['control', 'controls']","['control', 'controls']",False,Other/Unknown
controltensor/subnet-model-27,controltensor,subnet-model-27,,,,,,,,https://huggingface.co/controltensor/subnet-model-27,https://huggingface.co/api/models/controltensor/subnet-model-27,model,fallback,control|controls,2,,"['control', 'controls']","['control', 'controls']",False,Other/Unknown
controltensor/subnet-model-28,controltensor,subnet-model-28,,,,,,,,https://huggingface.co/controltensor/subnet-model-28,https://huggingface.co/api/models/controltensor/subnet-model-28,model,fallback,control|controls,2,,"['control', 'controls']","['control', 'controls']",False,Other/Unknown
controltensor/subnet-model-29,controltensor,subnet-model-29,,,,,,,,https://huggingface.co/controltensor/subnet-model-29,https://huggingface.co/api/models/controltensor/subnet-model-29,model,fallback,control|controls,2,,"['control', 'controls']","['control', 'controls']",False,Other/Unknown
controltensor/subnet-model-30,controltensor,subnet-model-30,,,,,,,,https://huggingface.co/controltensor/subnet-model-30,https://huggingface.co/api/models/controltensor/subnet-model-30,model,fallback,control|controls,2,,"['control', 'controls']","['control', 'controls']",False,Other/Unknown
controltensor/subnet-model-31,controltensor,subnet-model-31,,,,,,,,https://huggingface.co/controltensor/subnet-model-31,https://huggingface.co/api/models/controltensor/subnet-model-31,model,fallback,control|controls,2,,"['control', 'controls']","['control', 'controls']",False,Other/Unknown
controltensor/subnet-model-32,controltensor,subnet-model-32,,,,,,,,https://huggingface.co/controltensor/subnet-model-32,https://huggingface.co/api/models/controltensor/subnet-model-32,model,fallback,control|controls,2,,"['control', 'controls']","['control', 'controls']",False,Other/Unknown
LongshenOu/4-bar_inst-voice-control_slakh,LongshenOu,4-bar_inst-voice-control_slakh,,,,,,,,https://huggingface.co/LongshenOu/4-bar_inst-voice-control_slakh,https://huggingface.co/api/models/LongshenOu/4-bar_inst-voice-control_slakh,model,fallback,control|controls,2,,"['control', 'controls']","['control', 'controls']",False,Other/Unknown
ControlLLM/Llama3.1-8B-OpenMath16-Instruct,ControlLLM,Llama3.1-8B-OpenMath16-Instruct,,,,,,,8B,https://huggingface.co/ControlLLM/Llama3.1-8B-OpenMath16-Instruct,https://huggingface.co/api/models/ControlLLM/Llama3.1-8B-OpenMath16-Instruct,model,fallback,control|controls,2,,"['control', 'controls']","['control', 'controls']",False,Other/Unknown
ControlLLM/Control-LLM-Llama3.1-8B-Math16-Instruct,ControlLLM,Control-LLM-Llama3.1-8B-Math16-Instruct,,,,,,,8B,https://huggingface.co/ControlLLM/Control-LLM-Llama3.1-8B-Math16-Instruct,https://huggingface.co/api/models/ControlLLM/Control-LLM-Llama3.1-8B-Math16-Instruct,model,fallback,control|controls,2,,"['control', 'controls']","['control', 'controls']",False,Other/Unknown
ControlLLM/Llama-3.1-8B-OpenCoder16-Instruct,ControlLLM,Llama-3.1-8B-OpenCoder16-Instruct,,,,,,,8B,https://huggingface.co/ControlLLM/Llama-3.1-8B-OpenCoder16-Instruct,https://huggingface.co/api/models/ControlLLM/Llama-3.1-8B-OpenCoder16-Instruct,model,fallback,control|controls,2,,"['control', 'controls']","['control', 'controls']",False,Other/Unknown
ControlLLM/Control-LLM-Llama3.1-8B-OpenCoder8-Instruct,ControlLLM,Control-LLM-Llama3.1-8B-OpenCoder8-Instruct,,,,,,,8B,https://huggingface.co/ControlLLM/Control-LLM-Llama3.1-8B-OpenCoder8-Instruct,https://huggingface.co/api/models/ControlLLM/Control-LLM-Llama3.1-8B-OpenCoder8-Instruct,model,fallback,control|controls,2,,"['control', 'controls']","['control', 'controls']",False,Other/Unknown
ControlLLM/Llama-3.1-8B-SynE-FPT,ControlLLM,Llama-3.1-8B-SynE-FPT,,,,,,,8B,https://huggingface.co/ControlLLM/Llama-3.1-8B-SynE-FPT,https://huggingface.co/api/models/ControlLLM/Llama-3.1-8B-SynE-FPT,model,fallback,control|controls,2,,"['control', 'controls']","['control', 'controls']",False,Other/Unknown
ControlLLM/Llama-3.1-8B-SynE-Hybrid16,ControlLLM,Llama-3.1-8B-SynE-Hybrid16,,,,,,,8B,https://huggingface.co/ControlLLM/Llama-3.1-8B-SynE-Hybrid16,https://huggingface.co/api/models/ControlLLM/Llama-3.1-8B-SynE-Hybrid16,model,fallback,control|controls,2,,"['control', 'controls']","['control', 'controls']",False,Other/Unknown
ControlLLM/Llama-3.1-8B-SynE-Concat16-Lerp,ControlLLM,Llama-3.1-8B-SynE-Concat16-Lerp,,,,,,,8B,https://huggingface.co/ControlLLM/Llama-3.1-8B-SynE-Concat16-Lerp,https://huggingface.co/api/models/ControlLLM/Llama-3.1-8B-SynE-Concat16-Lerp,model,fallback,control|controls,2,,"['control', 'controls']","['control', 'controls']",False,Other/Unknown
ControlLLM/Llama-3.1-8B-SynE-Concat16-Dlerp,ControlLLM,Llama-3.1-8B-SynE-Concat16-Dlerp,,,,,,,8B,https://huggingface.co/ControlLLM/Llama-3.1-8B-SynE-Concat16-Dlerp,https://huggingface.co/api/models/ControlLLM/Llama-3.1-8B-SynE-Concat16-Dlerp,model,fallback,control|controls,2,,"['control', 'controls']","['control', 'controls']",False,Other/Unknown
aristsakpinisaws/llama-31-hhrlhf-squad-rlhf-policy-model,aristsakpinisaws,llama-31-hhrlhf-squad-rlhf-policy-model,,,,,,,,https://huggingface.co/aristsakpinisaws/llama-31-hhrlhf-squad-rlhf-policy-model,https://huggingface.co/api/models/aristsakpinisaws/llama-31-hhrlhf-squad-rlhf-policy-model,model,fallback,RLHF|policy,2,,"['RLHF', 'policy']","['rlhf', 'policy']",False,Other/Unknown
aristsakpinisaws/llama-32-hhrlhf-squad-rlhf-policy-model,aristsakpinisaws,llama-32-hhrlhf-squad-rlhf-policy-model,,,,,,,,https://huggingface.co/aristsakpinisaws/llama-32-hhrlhf-squad-rlhf-policy-model,https://huggingface.co/api/models/aristsakpinisaws/llama-32-hhrlhf-squad-rlhf-policy-model,model,fallback,RLHF|policy,2,,"['RLHF', 'policy']","['rlhf', 'policy']",False,Other/Unknown
Nicoggd/llama-31-hhrlhf-squad-rlhf-policy-model,Nicoggd,llama-31-hhrlhf-squad-rlhf-policy-model,,,,,,,,https://huggingface.co/Nicoggd/llama-31-hhrlhf-squad-rlhf-policy-model,https://huggingface.co/api/models/Nicoggd/llama-31-hhrlhf-squad-rlhf-policy-model,model,fallback,RLHF|policy,2,,"['RLHF', 'policy']","['rlhf', 'policy']",False,Other/Unknown
Adriede/llama-31-hhrlhf-squad-rlhf-policy-model,Adriede,llama-31-hhrlhf-squad-rlhf-policy-model,,,,,,,,https://huggingface.co/Adriede/llama-31-hhrlhf-squad-rlhf-policy-model,https://huggingface.co/api/models/Adriede/llama-31-hhrlhf-squad-rlhf-policy-model,model,fallback,RLHF|policy,2,,"['RLHF', 'policy']","['rlhf', 'policy']",False,Other/Unknown
ced-dpz/llama-31-hhrlhf-squad-rlhf-policy-model,ced-dpz,llama-31-hhrlhf-squad-rlhf-policy-model,,,,,,,,https://huggingface.co/ced-dpz/llama-31-hhrlhf-squad-rlhf-policy-model,https://huggingface.co/api/models/ced-dpz/llama-31-hhrlhf-squad-rlhf-policy-model,model,fallback,RLHF|policy,2,,"['RLHF', 'policy']","['rlhf', 'policy']",False,Other/Unknown
aagius/llama-31-hhrlhf-squad-rlhf-policy-model,aagius,llama-31-hhrlhf-squad-rlhf-policy-model,,,,,,,,https://huggingface.co/aagius/llama-31-hhrlhf-squad-rlhf-policy-model,https://huggingface.co/api/models/aagius/llama-31-hhrlhf-squad-rlhf-policy-model,model,fallback,RLHF|policy,2,,"['RLHF', 'policy']","['rlhf', 'policy']",False,Other/Unknown
vikingen/llama-31-hhrlhf-squad-rlhf-policy-model,vikingen,llama-31-hhrlhf-squad-rlhf-policy-model,,,,,,,,https://huggingface.co/vikingen/llama-31-hhrlhf-squad-rlhf-policy-model,https://huggingface.co/api/models/vikingen/llama-31-hhrlhf-squad-rlhf-policy-model,model,fallback,RLHF|policy,2,,"['RLHF', 'policy']","['rlhf', 'policy']",False,Other/Unknown
almorin/llama-31-hhrlhf-squad-rlhf-policy-model,almorin,llama-31-hhrlhf-squad-rlhf-policy-model,,,,,,,,https://huggingface.co/almorin/llama-31-hhrlhf-squad-rlhf-policy-model,https://huggingface.co/api/models/almorin/llama-31-hhrlhf-squad-rlhf-policy-model,model,fallback,RLHF|policy,2,,"['RLHF', 'policy']","['rlhf', 'policy']",False,Other/Unknown
thohahu/llama-31-hhrlhf-squad-rlhf-policy-model,thohahu,llama-31-hhrlhf-squad-rlhf-policy-model,,,,,,,,https://huggingface.co/thohahu/llama-31-hhrlhf-squad-rlhf-policy-model,https://huggingface.co/api/models/thohahu/llama-31-hhrlhf-squad-rlhf-policy-model,model,fallback,RLHF|policy,2,,"['RLHF', 'policy']","['rlhf', 'policy']",False,Other/Unknown
FlorentL/llama-31-hhrlhf-squad-rlhf-policy-model,FlorentL,llama-31-hhrlhf-squad-rlhf-policy-model,,,,,,,,https://huggingface.co/FlorentL/llama-31-hhrlhf-squad-rlhf-policy-model,https://huggingface.co/api/models/FlorentL/llama-31-hhrlhf-squad-rlhf-policy-model,model,fallback,RLHF|policy,2,,"['RLHF', 'policy']","['rlhf', 'policy']",False,Other/Unknown
adagues/llama-31-hhrlhf-squad-rlhf-policy-model,adagues,llama-31-hhrlhf-squad-rlhf-policy-model,,,,,,,,https://huggingface.co/adagues/llama-31-hhrlhf-squad-rlhf-policy-model,https://huggingface.co/api/models/adagues/llama-31-hhrlhf-squad-rlhf-policy-model,model,fallback,RLHF|policy,2,,"['RLHF', 'policy']","['rlhf', 'policy']",False,Other/Unknown
hamzabm2712/llama-31-hhrlhf-squad-rlhf-policy-model,hamzabm2712,llama-31-hhrlhf-squad-rlhf-policy-model,,,,,,,,https://huggingface.co/hamzabm2712/llama-31-hhrlhf-squad-rlhf-policy-model,https://huggingface.co/api/models/hamzabm2712/llama-31-hhrlhf-squad-rlhf-policy-model,model,fallback,RLHF|policy,2,,"['RLHF', 'policy']","['rlhf', 'policy']",False,Other/Unknown
pgillier/llama-31-hhrlhf-squad-rlhf-policy-model,pgillier,llama-31-hhrlhf-squad-rlhf-policy-model,,,,,,,,https://huggingface.co/pgillier/llama-31-hhrlhf-squad-rlhf-policy-model,https://huggingface.co/api/models/pgillier/llama-31-hhrlhf-squad-rlhf-policy-model,model,fallback,RLHF|policy,2,,"['RLHF', 'policy']","['rlhf', 'policy']",False,Other/Unknown
florian987/llama-31-hhrlhf-squad-rlhf-policy-model,florian987,llama-31-hhrlhf-squad-rlhf-policy-model,,,,,,,,https://huggingface.co/florian987/llama-31-hhrlhf-squad-rlhf-policy-model,https://huggingface.co/api/models/florian987/llama-31-hhrlhf-squad-rlhf-policy-model,model,fallback,RLHF|policy,2,,"['RLHF', 'policy']","['rlhf', 'policy']",False,Other/Unknown
mikhaelcohen/llama-31-hhrlhf-squad-rlhf-policy-model,mikhaelcohen,llama-31-hhrlhf-squad-rlhf-policy-model,,,,,,,,https://huggingface.co/mikhaelcohen/llama-31-hhrlhf-squad-rlhf-policy-model,https://huggingface.co/api/models/mikhaelcohen/llama-31-hhrlhf-squad-rlhf-policy-model,model,fallback,RLHF|policy,2,,"['RLHF', 'policy']","['rlhf', 'policy']",False,Other/Unknown
pelie/llama-31-hhrlhf-squad-rlhf-policy-model,pelie,llama-31-hhrlhf-squad-rlhf-policy-model,,,,,,,,https://huggingface.co/pelie/llama-31-hhrlhf-squad-rlhf-policy-model,https://huggingface.co/api/models/pelie/llama-31-hhrlhf-squad-rlhf-policy-model,model,fallback,RLHF|policy,2,,"['RLHF', 'policy']","['rlhf', 'policy']",False,Other/Unknown
sohaibmanah/llama-31-hhrlhf-squad-rlhf-policy-model,sohaibmanah,llama-31-hhrlhf-squad-rlhf-policy-model,,,,,,,,https://huggingface.co/sohaibmanah/llama-31-hhrlhf-squad-rlhf-policy-model,https://huggingface.co/api/models/sohaibmanah/llama-31-hhrlhf-squad-rlhf-policy-model,model,fallback,RLHF|policy,2,,"['RLHF', 'policy']","['rlhf', 'policy']",False,Other/Unknown
Flolight/llama-31-hhrlhf-squad-rlhf-policy-model,Flolight,llama-31-hhrlhf-squad-rlhf-policy-model,,,,,,,,https://huggingface.co/Flolight/llama-31-hhrlhf-squad-rlhf-policy-model,https://huggingface.co/api/models/Flolight/llama-31-hhrlhf-squad-rlhf-policy-model,model,fallback,RLHF|policy,2,,"['RLHF', 'policy']","['rlhf', 'policy']",False,Other/Unknown
omsr/llama-31-hhrlhf-squad-rlhf-policy-model,omsr,llama-31-hhrlhf-squad-rlhf-policy-model,,,,,,,,https://huggingface.co/omsr/llama-31-hhrlhf-squad-rlhf-policy-model,https://huggingface.co/api/models/omsr/llama-31-hhrlhf-squad-rlhf-policy-model,model,fallback,RLHF|policy,2,,"['RLHF', 'policy']","['rlhf', 'policy']",False,Other/Unknown
tfabron/llama-31-hhrlhf-squad-rlhf-policy-model,tfabron,llama-31-hhrlhf-squad-rlhf-policy-model,,,,,,,,https://huggingface.co/tfabron/llama-31-hhrlhf-squad-rlhf-policy-model,https://huggingface.co/api/models/tfabron/llama-31-hhrlhf-squad-rlhf-policy-model,model,fallback,RLHF|policy,2,,"['RLHF', 'policy']","['rlhf', 'policy']",False,Other/Unknown
valoup/llama-31-hhrlhf-squad-rlhf-policy-model,valoup,llama-31-hhrlhf-squad-rlhf-policy-model,,,,,,,,https://huggingface.co/valoup/llama-31-hhrlhf-squad-rlhf-policy-model,https://huggingface.co/api/models/valoup/llama-31-hhrlhf-squad-rlhf-policy-model,model,fallback,RLHF|policy,2,,"['RLHF', 'policy']","['rlhf', 'policy']",False,Other/Unknown
delacoug/llama-31-hhrlhf-squad-rlhf-policy-model,delacoug,llama-31-hhrlhf-squad-rlhf-policy-model,,,,,,,,https://huggingface.co/delacoug/llama-31-hhrlhf-squad-rlhf-policy-model,https://huggingface.co/api/models/delacoug/llama-31-hhrlhf-squad-rlhf-policy-model,model,fallback,RLHF|policy,2,,"['RLHF', 'policy']","['rlhf', 'policy']",False,Other/Unknown
lamliki/llama-31-hhrlhf-squad-rlhf-policy-model,lamliki,llama-31-hhrlhf-squad-rlhf-policy-model,,,,,,,,https://huggingface.co/lamliki/llama-31-hhrlhf-squad-rlhf-policy-model,https://huggingface.co/api/models/lamliki/llama-31-hhrlhf-squad-rlhf-policy-model,model,fallback,RLHF|policy,2,,"['RLHF', 'policy']","['rlhf', 'policy']",False,Other/Unknown
rudykrol/llama-31-hhrlhf-squad-rlhf-policy-model,rudykrol,llama-31-hhrlhf-squad-rlhf-policy-model,,,,,,,,https://huggingface.co/rudykrol/llama-31-hhrlhf-squad-rlhf-policy-model,https://huggingface.co/api/models/rudykrol/llama-31-hhrlhf-squad-rlhf-policy-model,model,fallback,RLHF|policy,2,,"['RLHF', 'policy']","['rlhf', 'policy']",False,Other/Unknown
xenity/llama-31-hhrlhf-squad-rlhf-policy-model,xenity,llama-31-hhrlhf-squad-rlhf-policy-model,,,,,,,,https://huggingface.co/xenity/llama-31-hhrlhf-squad-rlhf-policy-model,https://huggingface.co/api/models/xenity/llama-31-hhrlhf-squad-rlhf-policy-model,model,fallback,RLHF|policy,2,,"['RLHF', 'policy']","['rlhf', 'policy']",False,Other/Unknown
gerardoalfredo2/llama-31-hhrlhf-squad-rlhf-policy-model,gerardoalfredo2,llama-31-hhrlhf-squad-rlhf-policy-model,,,,,,,,https://huggingface.co/gerardoalfredo2/llama-31-hhrlhf-squad-rlhf-policy-model,https://huggingface.co/api/models/gerardoalfredo2/llama-31-hhrlhf-squad-rlhf-policy-model,model,fallback,RLHF|policy,2,,"['RLHF', 'policy']","['rlhf', 'policy']",False,Other/Unknown
puniomp/llama-31-hhrlhf-squad-rlhf-policy-model,puniomp,llama-31-hhrlhf-squad-rlhf-policy-model,,,,,,,,https://huggingface.co/puniomp/llama-31-hhrlhf-squad-rlhf-policy-model,https://huggingface.co/api/models/puniomp/llama-31-hhrlhf-squad-rlhf-policy-model,model,fallback,RLHF|policy,2,,"['RLHF', 'policy']","['rlhf', 'policy']",False,Other/Unknown
dinhkhanhho/llama-31-hhrlhf-squad-rlhf-policy-model,dinhkhanhho,llama-31-hhrlhf-squad-rlhf-policy-model,,,,,,,,https://huggingface.co/dinhkhanhho/llama-31-hhrlhf-squad-rlhf-policy-model,https://huggingface.co/api/models/dinhkhanhho/llama-31-hhrlhf-squad-rlhf-policy-model,model,fallback,RLHF|policy,2,,"['RLHF', 'policy']","['rlhf', 'policy']",False,Other/Unknown
pgrimaud/llama-31-hhrlhf-squad-rlhf-policy-model,pgrimaud,llama-31-hhrlhf-squad-rlhf-policy-model,,,,,,,,https://huggingface.co/pgrimaud/llama-31-hhrlhf-squad-rlhf-policy-model,https://huggingface.co/api/models/pgrimaud/llama-31-hhrlhf-squad-rlhf-policy-model,model,fallback,RLHF|policy,2,,"['RLHF', 'policy']","['rlhf', 'policy']",False,Other/Unknown
victou-the-goat/llama-31-hhrlhf-squad-rlhf-policy-model,victou-the-goat,llama-31-hhrlhf-squad-rlhf-policy-model,,,,,,,,https://huggingface.co/victou-the-goat/llama-31-hhrlhf-squad-rlhf-policy-model,https://huggingface.co/api/models/victou-the-goat/llama-31-hhrlhf-squad-rlhf-policy-model,model,fallback,RLHF|policy,2,,"['RLHF', 'policy']","['rlhf', 'policy']",False,Other/Unknown
Thad75/llama-31-hhrlhf-squad-rlhf-policy-model,Thad75,llama-31-hhrlhf-squad-rlhf-policy-model,,,,,,,,https://huggingface.co/Thad75/llama-31-hhrlhf-squad-rlhf-policy-model,https://huggingface.co/api/models/Thad75/llama-31-hhrlhf-squad-rlhf-policy-model,model,fallback,RLHF|policy,2,,"['RLHF', 'policy']","['rlhf', 'policy']",False,Other/Unknown
UrbanRetro/llama-31-hhrlhf-squad-rlhf-policy-model,UrbanRetro,llama-31-hhrlhf-squad-rlhf-policy-model,,,,,,,,https://huggingface.co/UrbanRetro/llama-31-hhrlhf-squad-rlhf-policy-model,https://huggingface.co/api/models/UrbanRetro/llama-31-hhrlhf-squad-rlhf-policy-model,model,fallback,RLHF|policy,2,,"['RLHF', 'policy']","['rlhf', 'policy']",False,Other/Unknown
yaimeur/llama-31-hhrlhf-squad-rlhf-policy-model,yaimeur,llama-31-hhrlhf-squad-rlhf-policy-model,,,,,,,,https://huggingface.co/yaimeur/llama-31-hhrlhf-squad-rlhf-policy-model,https://huggingface.co/api/models/yaimeur/llama-31-hhrlhf-squad-rlhf-policy-model,model,fallback,RLHF|policy,2,,"['RLHF', 'policy']","['rlhf', 'policy']",False,Other/Unknown
Sivakar/llama-31-hhrlhf-squad-rlhf-policy-model,Sivakar,llama-31-hhrlhf-squad-rlhf-policy-model,,,,,,,,https://huggingface.co/Sivakar/llama-31-hhrlhf-squad-rlhf-policy-model,https://huggingface.co/api/models/Sivakar/llama-31-hhrlhf-squad-rlhf-policy-model,model,fallback,RLHF|policy,2,,"['RLHF', 'policy']","['rlhf', 'policy']",False,Other/Unknown
alesageProovStation/llama-31-hhrlhf-squad-rlhf-policy-model,alesageProovStation,llama-31-hhrlhf-squad-rlhf-policy-model,,,,,,,,https://huggingface.co/alesageProovStation/llama-31-hhrlhf-squad-rlhf-policy-model,https://huggingface.co/api/models/alesageProovStation/llama-31-hhrlhf-squad-rlhf-policy-model,model,fallback,RLHF|policy,2,,"['RLHF', 'policy']","['rlhf', 'policy']",False,Other/Unknown
dxnxk/llama-31-hhrlhf-squad-rlhf-policy-model,dxnxk,llama-31-hhrlhf-squad-rlhf-policy-model,,,,,,,,https://huggingface.co/dxnxk/llama-31-hhrlhf-squad-rlhf-policy-model,https://huggingface.co/api/models/dxnxk/llama-31-hhrlhf-squad-rlhf-policy-model,model,fallback,RLHF|policy,2,,"['RLHF', 'policy']","['rlhf', 'policy']",False,Other/Unknown
adrizein-proovstation/llama-31-hhrlhf-squad-rlhf-policy-model,adrizein-proovstation,llama-31-hhrlhf-squad-rlhf-policy-model,,,,,,,,https://huggingface.co/adrizein-proovstation/llama-31-hhrlhf-squad-rlhf-policy-model,https://huggingface.co/api/models/adrizein-proovstation/llama-31-hhrlhf-squad-rlhf-policy-model,model,fallback,RLHF|policy,2,,"['RLHF', 'policy']","['rlhf', 'policy']",False,Other/Unknown
CedrVal/llama-31-hhrlhf-squad-rlhf-policy-model,CedrVal,llama-31-hhrlhf-squad-rlhf-policy-model,,,,,,,,https://huggingface.co/CedrVal/llama-31-hhrlhf-squad-rlhf-policy-model,https://huggingface.co/api/models/CedrVal/llama-31-hhrlhf-squad-rlhf-policy-model,model,fallback,RLHF|policy,2,,"['RLHF', 'policy']","['rlhf', 'policy']",False,Other/Unknown
